road,id,lrp,model_type,name,lat,lon,length,type,condition,traffic_density
N1,28,LRP011,Link,Km post missing,23.6966386,90.53480520000001,381.9999999999997,KmPost,,
N1,29,LRP011a,Link,Box culvert,23.6943608,90.5376108,427.999999999999,Culvert,,
N1,30,LRP011a,Bridge,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,8.3,Box Culvert,A,
N1,31,LRP011b,Link,Box culvert,23.6922774,90.5410552,184.0000000000011,Culvert,,
N1,32,LRP011c,Bridge,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,10.6,Box Culvert,B,
N1,33,LRP012,Link,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,247.9999999999993,KmPost,,
N1,34,LRP012a,Link,Bridge start,23.6911108,90.5448886,25.9999999999998,Bridge,,
N1,35,LRP012a,Bridge,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,9.3,Box Culvert,A,
N1,36,LRP012b,Link,Bridge end,23.6910552,90.54513859999999,165.0000000000009,Bridge,,
N1,37,LRP012b,Bridge,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,6.1,Box Culvert,A,
N1,38,LRP012c,Intersection,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,588.0000000000009,"SideRoad,Right",,
N1,39,LRP013,Link,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,147.9999999999997,KmPost,,
N1,40,LRP013a,Bridge,Madanpur Bridge.(L),23.685583027027,90.551207981081,27.5,PC Girder Bridge,A,
N1,41,LRP013a,Link,Box culvert,23.6854997,90.5512778,852.0000000000003,Culvert,,
N1,42,LRP013b,Bridge,Madanpur Bridge(R),23.6853619779342,90.5513591765258,27.5,PC Girder Bridge,A,
N1,43,LRP014,Link,Km post missing,23.678166,90.5556111,1000.0,KmPost,,
N1,44,LRP014a,Bridge,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9,Box Culvert,A,
N1,45,LRP015,Link,Km post missing,23.670916,90.55977779999999,38.99999999999793,KmPost,,
N1,46,LRP015a,Link,Box culvert,23.6705827,90.5599722,961.000000000002,Culvert,,
N1,47,LRP016,Link,Km post missing,23.6628333,90.56411109999999,410.9999999999996,KmPost,,
N1,48,LRP016a,Link,Road to MinanbariZ1061),23.6604167,90.5671104,307.0000000000004,"SideRoad,Right",,
N1,49,LRP016a,Bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55,Box Culvert,B,
N1,50,LRP016b,Link,Langalbandhu bridge,23.6591111,90.5697216,160.0000000000001,Bridge,,
N1,51,LRP016c,Link,Bridge end,23.6583056,90.5709993,121.9999999999999,Bridge,,
N1,52,LRP017,Link,Km post missing,23.6575,90.57197159999998,306.9999999999986,KmPost,,
N1,53,LRP017a,Link,Bridge start,23.6559722,90.5743327,21.0000000000008,Bridge,,
N1,54,LRP017b,Link,Bridge end,23.6559167,90.5745271,352.0000000000003,Bridge,,
N1,55,LRP017b,Bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52,RCC Girder Bridge,C,
N1,56,LRP017c,Link,Bridge start,23.6540556,90.57727709999999,30.00000000000114,Bridge,,
N1,57,LRP017d,Link,Bridge end,23.6539167,90.5774993,289.9999999999991,Bridge,,
N1,58,LRP018,Link,Km post missing,23.6525278,90.5798882,338.9999999999986,KmPost,,
N1,59,LRP018a,Link,Bridge start,23.6508889,90.5826382,41.00000000000037,Bridge,,
N1,60,LRP018a,Bridge,DARIKANDI BRIDGE (R),23.6515705663716,90.5814943946902,20.0,PC Girder Bridge,B,
N1,61,LRP018a,Bridge,Darikandi Bridge (L),23.65397226,90.57741042,20.5,PC Girder Bridge,A,
N1,62,LRP018b,Link,Bridge end,23.6506944,90.5829993,620.000000000001,Bridge,,
N1,63,LRP018c,Bridge,SONARKALI BRIDGE(L),23.6497543993548,90.5845490085483,24.5,PC Girder Bridge,B,
N1,64,LRP019,Link,Km post missing,23.6476108,90.588083,353.9999999999992,KmPost,,
N1,65,LRP019a,Bridge,Mollik para Bridge(L),23.6459685949152,90.5892119813559,40.4,PC Girder Bridge,B,
N1,66,LRP019a,Link,Box culvert,23.6449441,90.5899163,643.0000000000007,Culvert,,
N1,67,LRP019b,Link,Box culvert,23.6397497,90.5926941,3.000000000000114,Culvert,,
N1,68,LRP020,Link,Km post missing,23.6396941,90.5927219,519.9999999999995,KmPost,,
N1,69,LRP020a,Link,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),23.6358608,90.5948052,297.9999999999983,"SideRoad,Left",,
N1,70,LRP020a,Bridge,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,6.0,Box Culvert,A,
N1,71,LRP020b,Link,Bridge start,23.6341108,90.59702740000002,100.0000000000014,Bridge,,
N1,72,LRP020b,Bridge,SHADIPUR BOX CULVERT,23.63380522,90.597394085,10.4,Box Culvert,B,
N1,73,LRP020c,Link,Bridge end,23.6335552,90.5976941,82.00000000000074,Bridge,,
N1,74,LRP021,Link,Km post missing,23.6330549,90.59827740000001,975.0000000000014,KmPost,,
N1,75,LRP021a,Link,Box culvert,23.6262771,90.60422220000001,129.999999999999,Culvert,,
N1,76,LRP021c,Bridge,Marikhali Bridge(L),23.6284668507692,90.6023015723077,86.92,PC Girder Bridge,A,
N1,77,LRP022,Link,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,135.9999999999992,KmPost,,
N1,78,LRP022a,Bridge,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,5.5,Box Culvert,B,
N1,79,LRP022a,Link,Bridge start,23.6242216,90.60552779999999,228.0000000000015,Bridge,,
N1,80,LRP022b,Link,Bridge end,23.6224993,90.6066944,258.9999999999968,Bridge,,
N1,81,LRP022c,Link,Bridge start,23.6204716,90.6079722,122.0000000000034,Bridge,,
N1,82,LRP022d,Link,Bridge end,23.6195271,90.60858329999999,254.999999999999,Bridge,,
N1,83,LRP023,Link,Km post missing,23.6173604,90.6096944,934.9999999999987,KmPost,,
N1,84,LRP023a,Bridge,ASHIR CHAR (Right),23.6176407964705,90.6095506105882,224.8,PC Girder Bridge,A,
N1,85,LRP023a,Link,Meghna  bridge,23.6095556,90.6121944,65.00000000000128,Bridge,,
N1,86,LRP023c,Bridge,ASHIR CHAR (R),23.613587384385,90.6109029561497,116.8,PC Girder Bridge,B,
N1,87,LRP024,Link,Km post missing,23.609,90.61247220000001,873.9999999999987,KmPost,,
N1,88,LRP024a,Bridge,MEGHNA BRIDGE,23.6027595885583,90.6155316965675,900.0,PC Box,C,
N1,89,LRP024a,Link,Bridge end,23.6018611,90.6159722,126.0000000000012,Bridge,,
N1,90,LRP025,Link,Km post missing,23.6009444,90.6165556,1000.0,KmPost,,
N1,91,LRP026,Link,Km post missing,23.5959997,90.624666,9.99999999999801,KmPost,,
N1,92,LRP026a,Bridge,TATULTALA CULVERT,23.5929818827893,90.6279699370919,5.6,Box Culvert,A,
N1,93,LRP026a,Link,Box culvert,23.5959441,90.6246938,674.0000000000031,Culvert,,
N1,94,LRP026b,Bridge,BAILAKANDI CULVERT,23.5908088547468,90.6302368598101,5.5,Box Culvert,A,
N1,95,LRP026b,Link,Box culvert,23.5917497,90.6293327,315.999999999999,Culvert,,
N1,96,LRP027,Link,Km post missing,23.5896108,90.6313882,873.9999999999987,KmPost,,
N1,97,LRP027a,Bridge,MALUAKANDI CULVEDRT,23.58631812254,90.6345094207093,5.6,Box Culvert,A,
N1,98,LRP027a,Link,Bridge start,23.5837497,90.6369441,126.0000000000012,Bridge,,
N1,99,LRP028,Link,Km post missing,23.5828327,90.6378886,39.00000000000148,KmPost,,
N1,100,LRP028a,Bridge,BHATIR CHAR BRIDGE,23.5779800248475,90.6419193089939,163.5,PC Girder Bridge,A,
N1,101,LRP028a,Link,Bridge end,23.5825827,90.63813859999999,655.9999999999989,Bridge,,
N1,102,LRP028b,Link,Bridge start,23.577916,90.6419719,39.00000000000148,Bridge,,
N1,103,LRP028c,Link,Bridge end,23.5776104,90.6421108,395.9999999999973,Bridge,,
N1,104,LRP029,Link,Information missing,23.5745271,90.6436941,307.9999999999962,KmPost,,
N1,105,LRP029a,Link,Bridge start,23.572166,90.6451108,46.00000000000648,Bridge,,
N1,106,LRP029a,Bridge,ANAR PURA BRIDGE(L),23.5716306256965,90.6454159236842,29.0,PC Girder Bridge,A,
N1,107,LRP029b,Link,Bridge end,23.5718327,90.6453052,645.9999999999973,Bridge,,
N1,108,LRP030,Link,Km post missing,23.5666111,90.6481663,367.9999999999985,KmPost,,
N1,109,LRP030a,Bridge,VITIKANDA - ANAR PUR CULVERT,23.5660033956521,90.6486237247282,34.7,Box Culvert,A,
N1,110,LRP030a,Link,Bridge start,23.5639167,90.6501944,38.00000000000026,Bridge,,
N1,111,LRP030b,Link,Bridge end,23.5636944,90.65047220000001,532.0,Bridge,,
N1,112,LRP030c,Link,Bridge start,23.5604167,90.6542222,38.00000000000026,Bridge,,
N1,113,LRP030d,Link,Bridge end,23.5602222,90.6545,39.00000000000148,Bridge,,
N1,114,LRP031,Link,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,161.999999999999,KmPost,,
N1,115,LRP031a,Link,Road to Gazara (Z1063),23.5590278,90.6559444,412.0000000000026,"SideRoad,Right",,
N1,116,LRP031a,Bridge,Alipur bridge(R),23.5591910296296,90.6557475703703,27.4,PC Girder Bridge,A,
N1,117,LRP031b,Link,Bridge start,23.5564444,90.6588611,39.99999999999915,Bridge,,
N1,118,LRP031c,Link,Bridge end,23.5562222,90.6591389,394.9999999999995,Bridge,,
N1,119,LRP032,Link,"Ctg 228 km,Comilla 61 km",23.5538056,90.66197220000001,241.9999999999973,KmPost,,
N1,120,LRP032a,Bridge,Bhaber char Bridge(R),23.5557082901265,90.6597414245569,29.85,PC Girder Bridge,A,
N1,121,LRP032a,Link,Box culvert,23.5523333,90.66366670000001,582.0000000000007,Culvert,,
N1,122,LRP032d,Bridge,BOBAIRCHAR BRIDGE(R),23.5517421907216,90.6643538752577,28.9,PC Girder Bridge,A,
N1,123,LRP033,SourceSink,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,223.9999999999966,KmPost,,4256.922505307093
N1,124,LRP033a,Bridge,PURRANBUICHE BOX CULVERT,23.5477377446428,90.6690554098214,9.1,Box Culvert,A,
N1,125,LRP033a,Link,Bridge start,23.5474163,90.6694438,77.00000000000529,Bridge,,
N1,126,LRP033b,Link,Bridge end,23.5469441,90.6699993,442.9999999999978,Bridge,,
N1,127,LRP033b,Bridge,NOYAPARA,23.5476246437499,90.669192065625,5.2,Box Culvert,A,
N1,128,LRP033c,Link,Box culvert,23.5442219,90.6731104,256.0000000000002,Culvert,,
N1,129,LRP034,Link,Km post missing,23.542583,90.6749438,1000.0,KmPost,,
N1,130,LRP034a,Bridge,MADHAYA BAUSHIA(L),23.54268543125,90.6748292125,70.0,PC Girder Bridge,A,
N1,131,LRP034c,Bridge,BOCTAR KANDI BOX CULVERT,23.5393910168,90.6784577888,5.1,Box Culvert,C,
N1,132,LRP035,Link,Km post missing,23.5362497,90.681916,33.99999999999892,KmPost,,
N1,133,LRP035a,Bridge,.,23.5327751898617,90.6858701078341,9.5,Box Culvert,A,
N1,134,LRP035a,Link,Bridge start,23.536083,90.6821382,39.99999999999915,Bridge,,
N1,135,LRP035b,Link,Bridge end,23.5358608,90.68236040000001,274.9999999999986,Bridge,,
N1,136,LRP035c,Link,Box culvert,23.5341386,90.6843052,651.0000000000034,Culvert,,
N1,137,LRP036,Link,Km post missing,23.5301938,90.688833,664.0000000000015,KmPost,,
N1,138,LRP036a,Bridge,Baushia bazar Bridge( L ),23.5313996605222,90.68744892596,25.45,PC Girder Bridge,A,
N1,139,LRP036a,Link,Daudkandi bridge,23.529916,90.6952219,335.9999999999985,Bridge,,
N1,140,LRP036c,Bridge,CHAR BOUSHEA (2),23.5301519626506,90.6897951837349,8.4,Box Culvert,A,
N1,141,LRP037,Link,Km post missing,23.5301382,90.6984997,1000.0,KmPost,,
N1,142,LRP037a,Bridge,Daudkandi Bridge.,23.5303844733,90.7024402743,1408.8,PC Box,A,
N1,143,LRP038,Link,Km post missing,23.5307493,90.70827779999999,78.00000000000296,KmPost,,
N1,144,LRP038a,Link,Daudkandi bridge,23.5307771,90.70902779999999,354.9999999999969,Bridge,,
N1,145,LRP038b,Link,Start of Comilla road Division / Start of Comilla road Division,23.5313882,90.7153611,426.0000000000019,Others / Others,,
N1,146,LRP038c,Link,Road to Matlab (Z1062),23.5314716,90.71722159999999,76.99999999999818,"SideRoad,Right",,
N1,147,LRP038d,Link,Bridge start,23.5315271,90.7173604,17.00000000000301,Bridge,,
N1,148,LRP038e,Link,Bridge end,23.5315827,90.7176104,46.99999999999704,Bridge,,
N1,149,LRP039,Link,Km post missing,23.5317216,90.7180271,512.9999999999982,KmPost,,
N1,150,LRP039a,Link,Box culvert,23.5322346,90.7226298386,487.0000000000019,Culvert,,
N1,151,LRP040,Link,Km post missing,23.5327216,90.7269993,1000.0,KmPost,,
N1,152,LRP040b,Bridge,Baldhakhal Bridge,23.5324186,90.7242807234,23.1,RCC Girder Bridge,C,
N1,153,LRP040c,Bridge,MAIS PARA BOX CULVERT,23.5317587831999,90.7291780095,6.0,Box Culvert,B,
N1,154,LRP041,Link,Km post missing,23.528916,90.7356108,654.0000000000034,KmPost,,
N1,155,LRP042,Link,Ctg 214 km,23.5289993,90.7419441,966.9999999999987,KmPost,,
N1,156,LRP042a,Link,Bridge start,23.5293882,90.75141670000001,16.99999999999591,Bridge,,
N1,157,LRP042b,Link,Bridge end,23.5293882,90.7515833,24.00000000000091,Bridge,,
N1,158,LRP043,Link,Km post broken,23.529416,90.75175,1000.0,KmPost,,
N1,159,LRP043a,Bridge,Shahid Nagor Bridge,23.5298050611,90.75825325,16.5,RCC Girder Bridge,C,
N1,160,LRP044,Link,Km post Missing,23.5299993,90.7615,1000.0,KmPost,,
N1,161,LRP045,Link,Km post Missing,23.5304438,90.77130490000002,184.9999999999952,KmPost,,
N1,162,LRP045a,Link,Box culvert,23.5304993,90.77311040000001,815.0000000000048,Culvert,,
N1,163,LRP046,Link,Km post Missing,23.5308049,90.7811104,52.99999999999727,KmPost,,
N1,164,LRP046a,Link,"Z1402, road to Pennai",23.5307493,90.7816104,66.0000000000096,"SideRoad,Right",,
N1,165,LRP046a,Bridge,SARKAR BARI CULVERT,23.5307655282208,90.7800797251533,3.9,Box Culvert,C,
N1,166,LRP046b,Link,"Z1053, Road to Homna",23.530666,90.7821938,772.9999999999961,"SideRoad,Left",,
N1,167,LRP046c,Link,Box culvert,23.5312216,90.78955520000001,107.999999999997,Culvert,,
N1,168,LRP047,Link,Km post Missing,23.531166,90.79072190000001,954.9999999999983,KmPost,,
N1,169,LRP047a,Link,Z1044,23.5306938,90.7924441,45.00000000000171,"SideRoad,Right",,
N1,170,LRP047a,Bridge,AMIRABATH SLAB CULVERT,23.5308683409424,90.7918075171727,6.5,Slab Culvert,C,
N1,171,LRP048,Link,Km post Missing,23.5308604,90.80022220000001,402.9999999999987,KmPost,,
N1,172,LRP048a,Link,Bridge start,23.5308882,90.80413890000001,20.00000000000313,Bridge,,
N1,173,LRP048b,Link,Bridge end,23.530916,90.8043611,576.9999999999982,Bridge,,
N1,174,LRP049,Link,Km post Missing,23.5316382,90.8099167,1000.0,KmPost,,
N1,175,LRP049a,Bridge,Ginlatoly bridge,23.5318234765,90.8110155135,15.9,RCC Girder Bridge,A,
N1,176,LRP050,Link,Km post Missing,23.5332493,90.81947159999999,594.0000000000011,KmPost,,
N1,177,LRP050a,Link,Bridge start,23.5346663,90.82497159999998,15.99999999999824,Bridge,,
N1,178,LRP050b,Link,Bridge end,23.5347219,90.8251104,390.0000000000006,Bridge,,
N1,179,LRP051,Link,Km post Missing,23.5344997,90.8287216,1000.0,KmPost,,
N1,180,LRP051a,Bridge,RAIPUR BOX CULVERT,23.5329743291,90.8309774761999,12.2,Box Culvert,A,
N1,181,LRP052,Link,Km post Missing,23.5292216,90.83652740000001,367.0000000000044,KmPost,,
N1,182,LRP052a,Link,Box culvert,23.5270549,90.8391386,632.9999999999956,Culvert,,
N1,183,LRP053,Link,Km post Missing,23.523166,90.8438886,1000.0,KmPost,,
N1,184,LRP053a,Bridge,AITAL BANGA BOX CULVERT,23.5229166652,90.8442186132,4.5,Box Culvert,C,
N1,185,LRP054,Link,Km post Missing,23.5174993,90.8513889,1000.0,KmPost,,
N1,186,LRP055,Link,Km post Missing,23.5170827,90.8607778,1000.0,KmPost,,
N1,187,LRP056,Link,Km post Missing,23.5135833,90.8697771,64.00000000000006,KmPost,,
N1,188,LRP056a,Bridge,Illiot bazar Bridge,23.510087758207,90.8757204035353,28.9,RCC Girder Bridge,C,
N1,189,LRP056a,Link,Bridge start,23.5133056,90.87030490000001,42.00000000000159,Bridge,,
N1,190,LRP056b,Link,Bridge end,23.5131111,90.8706382,101.9999999999968,Bridge,,
N1,191,LRP056c,Link,"Z1042, road to Bancharampur",23.5126667,90.871416,792.0000000000016,"SideRoad,Left",,
N1,192,LRP057,Link,Km post Missing,23.5088056,90.8778604,1000.0,KmPost,,
N1,193,LRP058,Link,Km post Missing,23.506,90.8869163,922.0000000000041,KmPost,,
N1,194,LRP058a,Link,Box culvert,23.5056111,90.89588859999999,77.99999999999585,Culvert,,
N1,195,LRP059,Link,Km post Missing,23.5056389,90.8966108,1000.0,KmPost,,
N1,196,LRP059a,Bridge,KHAT GHOR BOX CULVERT,23.5060024341,90.9021745389,5.9,Box Culvert,B,
N1,197,LRP060,Link,Km post Missing,23.5062778,90.90638890000001,911.0000000000014,KmPost,,
N1,198,LRP060a,Link,Box culvert,23.50575,90.91525,88.99999999999864,Culvert,,
N1,199,LRP061,Link,Km post Missing,23.5057222,90.9160278,1000.0,KmPost,,
N1,200,LRP061a,Bridge,BAKRA BOX CULVERT,23.5056131416,90.9214660218,3.0,Box Culvert,B,
N1,201,LRP062,Link,Km post Missing,23.5055278,90.92572159999999,1000.0,KmPost,,
N1,202,LRP063,Link,Km post Missing,23.5042778,90.9354163,9.000000000000341,KmPost,,
N1,203,LRP063a,Link,"Z1017, Road to Companiganj",23.5043333,90.93547190000001,264.0000000000029,"SideRoad,Left",,
N1,204,LRP063b,Link,Box culvert,23.5038611,90.9371386,351.9999999999968,Culvert,,
N1,205,LRP063c,Link,Box culvert,23.5028611,90.9412774,375.0,Culvert,,
N1,206,LRP064,Link,Km post Missing,23.5020278,90.9448886,999.999999999993,KmPost,,
N1,207,LRP064a,Bridge,MATIA BAZER,23.5024077848,90.9432418928,6.0,Slab Culvert,B,
N1,208,LRP064c,Bridge,SONAPUR BOX CULVERT,23.5013551924,90.9473844088999,3.0,Box Culvert,A,
N1,209,LRP065,Link,Km post Missing,23.4995274,90.9541667,1000.0,KmPost,,
N1,210,LRP066,Link,Km post Missing,23.4986386,90.96511109999999,274.0000000000151,KmPost,,
N1,211,LRP066a,Link,Box culvert,23.4980552,90.96602779999999,182.9999999999927,Culvert,,
N1,212,LRP067,Link,Ctg 191 km,23.4972774,90.9674716,1000.0,KmPost,,
N1,213,LRP067a,Bridge,KARON KHAL SLAB CULVERT,23.495896314,90.9715772516,4.6,Slab Culvert,B,
N1,214,LRP068,Link,Km post Missing,23.4942219,90.97655490000001,694.0000000000026,KmPost,,
N1,215,LRP068a,Link,Box culvert,23.4951386,90.9829993,305.9999999999974,Culvert,,
N1,216,LRP068a,Bridge,MILL GHAT BOX CULVERT,23.4932728146,90.9887200416,4.5,Box Culvert,A,
N1,217,LRP069,Link,Km post Missing,23.4942497,90.985833,1000.0,KmPost,,
N1,218,LRP070,Link,Km post Missing,23.4911386,90.99502740000001,890.0000000000006,KmPost,,
N1,219,LRP070a,Link,Road to Debiduar (Z1008),23.4894441,91.0033056,22.00000000000557,"SideRoad,Left",,
N1,220,LRP070b,Link,Road to Jhalam (Z1022),23.4893886,91.0034722,70.99999999999795,"SideRoad,Right",,
N1,221,LRP071,Link,Ctg 188 km,23.4896108,91.0043056,733.9999999999947,KmPost,,
N1,222,LRP072,Link,"Ctg 188 km,Comilla 20 km",23.4893052,91.01127779999999,84.00000000000318,KmPost,,
N1,223,LRP072a,Link,Bridge start,23.4890552,91.0120278,30.00000000000114,Bridge,,
N1,224,LRP072a,Bridge,Chandinan-Shahapara Bridge.,23.4868805937254,91.017566692647,22.55,RCC Girder Bridge,C,
N1,225,LRP072b,Link,Bridge end,23.4889441,91.01225,197.9999999999933,Bridge,,
N1,226,LRP073,Link,Ctg 187 km,23.488333,91.0140833,1020.00000000001,KmPost,,
N1,227,LRP074,Link,Km post missing,23.4846386,91.0229438,1000.0,KmPost,,
N1,228,LRP075,Link,Km post missing,23.4827771,91.03213819999999,912.9999999999967,KmPost,,
N1,229,LRP075a,Link,Box culvert,23.481166,91.0404441,140.9999999999911,Culvert,,
N1,230,LRP075a,Bridge,CORI PAI BOX CULVERT,23.4817873233065,91.0463348850746,4.6,Box Culvert,B,
N1,231,LRP076,SourceSink,Ctg 184 km,23.4814716,91.04197190000001,871.0000000000093,KmPost,,3706.41943236715
N1,232,LRP076a,Bridge,COREPAI BOX CULVERT,23.4817498298684,91.0563549686842,4.6,Box Culvert,B,
N1,233,LRP076a,Link,Box culvert,23.4820827,91.0504167,128.9999999999907,Culvert,,
N1,234,LRP077,Link,Km post missing,23.4821382,91.0516944,760.0000000000051,KmPost,,
N1,235,LRP077a,Link,Road to Khangsanagar (Z1219) left road to Barua Z1028 right,23.4815271,91.0590278,239.9999999999949,"SideRoad,Left",,
N1,236,LRP077a,Bridge,NIMSHAR SLAB CULVERT,23.480613086,91.0674097692,1.5,Slab Culvert,A,
N1,237,LRP078,Link,Km post missing,23.4815549,91.06136109999998,1000.0,KmPost,,
N1,238,LRP079,Link,Km post missing,23.4801104,91.0706382,944.0000000000026,KmPost,,
N1,239,LRP079a,Link,Box culvert,23.4770827,91.0789993,55.99999999999739,Culvert,,
N1,240,LRP079a,Bridge,KABILA DUBARCHAR SLAB CULVERT,23.4776722851,91.0847406393,1.0,Slab Culvert,C,
N1,241,LRP080,Link,Km post missing,23.4770271,91.07947159999999,1000.0,KmPost,,
N1,242,LRP081,Link,Km post missing,23.4781938,91.0889997,1000.0,KmPost,,
N1,243,LRP081a,Bridge,NAZIRA BOX CULVERT,23.4781159049382,91.1070332074074,3.0,Box Culvert,B,
N1,244,LRP082,Link,Km post missing,23.4775549,91.09866629999999,513.0000000000052,KmPost,,
N1,245,LRP082a,Link,Box culvert,23.4778604,91.1036111,486.9999999999948,Culvert,,
N1,246,LRP083,Link,Km post missing,23.4779993,91.10552779999999,972.0000000000084,KmPost,,
N1,247,LRP083a,Bridge,TIPRA BAZAR BOX CULVERT,23.4794083880733,91.1238920825688,1.4,Box Culvert,A,
N1,248,LRP083a,Link,Box culvert,23.4789438,91.1177216,27.99999999999159,Culvert,,
N1,249,LRP083b,Bridge,AMTOLI SLAB CULVERT,23.479544924,91.129047144,2.9,Slab Culvert,A,
N1,250,LRP084,Link,Km post missing,23.4789716,91.11799930000001,17.00000000001012,KmPost,,
N1,251,LRP084a,Intersection,Road to Brahmanbaria(N102),23.4789716,91.118166,546.9999999999828,"SideRoad,Left",,
N1,252,LRP084b,Link,Box culvert,23.4793327,91.12347159999999,436.000000000007,Culvert,,
N1,253,LRP085,Link,Km post missing,23.4800827,91.12763819999999,1000.0,KmPost,,
N1,254,LRP086,Link,Km post missing,23.4767216,91.1364441,1000.0,KmPost,,
N1,255,LRP087,Link,Km post missing,23.4682216,91.1394441,1000.0,KmPost,,
N1,256,LRP088,Link,Km post missing,23.4595833,91.1421386,68.00000000001205,KmPost,,
N1,257,LRP088a,Link,Cross road Z1029,23.459,91.142333,931.999999999988,CrossRoad,,
N1,258,LRP088a,Bridge,Dhanpur Bridge,23.4436339598272,91.1493668151188,22.85,RCC Girder Bridge,C,
N1,259,LRP089,Link,Km post missing,23.4513056,91.1460552,303.0000000000115,KmPost,,
N1,260,LRP089a,Link,Bridge start,23.448833,91.14713859999999,24.00000000000091,Bridge,,
N1,261,LRP089b,Link,Bridge end,23.4486386,91.1472497,209.9999999999937,Bridge,,
N1,262,LRP089c,Link,Cross Road with Z1052,23.4469441,91.1481386,462.9999999999939,CrossRoad,,
N1,263,LRP090,Link,Km post missing,23.4425274,91.1497774,683.9999999999975,KmPost,,
N1,264,LRP091,Link,Ctg 170 km,23.4373886,91.1521944,1000.0,KmPost,,
N1,265,LRP092,Link,Km post missing,23.4288882,91.1553889,980.000000000004,KmPost,,
N1,266,LRP092a,Bridge,Paduar Bazar Bridge,23.4212487704918,91.1678943372365,35.97,RCC Girder Bridge,C,
N1,267,LRP093,Link,Ctg 168 km,23.4236938,91.1626944,28.0000000000058,KmPost,,
