road,id,model_type,condition,name,lat,lon,length,type
N1,42,Bridge,A,Madanpur Bridge(R),23.68536198,90.55135918,27.5,PC Girder Bridge
N1,43,Link,,Km post missing,23.678166,90.5556111,1000.0,KmPost
N1,44,Bridge,A,KAWTALA BOX CULVERT,23.6778035,90.55581943,11.9,Box Culvert
N1,45,Link,,Km post missing,23.670916,90.5597778,39.0,KmPost
N1,46,Link,,Box culvert,23.6705827,90.5599722,961.0,Culvert
N1,47,Link,,Km post missing,23.6628333,90.5641111,411.0,KmPost
N1,48,Link,,Road to MinanbariZ1061),23.6604167,90.5671104,307.0,"SideRoad,Right"
N1,49,Bridge,B,MALIBAG BOX CULVERT,23.66330907,90.56385699,5.55,Box Culvert
N1,50,Link,,Langalbandhu bridge,23.6591111,90.5697216,160.0,Bridge
N1,51,Link,,Bridge end,23.6583056,90.5709993,122.0,Bridge
N1,52,Link,,Km post missing,23.6575,90.5719716,307.0,KmPost
N1,53,Link,,Bridge start,23.6559722,90.5743327,21.0,Bridge
N1,54,Link,,Bridge end,23.6559167,90.5745271,352.0,Bridge
N1,55,Bridge,C,Langalbandh Bridge.,23.65442571,90.57673023,159.52,RCC Girder Bridge
N1,56,Link,,Bridge start,23.6540556,90.5772771,30.0,Bridge
N1,57,Link,,Bridge end,23.6539167,90.5774993,290.0,Bridge
N1,58,Link,,Km post missing,23.6525278,90.5798882,339.0,KmPost
N1,59,Link,,Bridge start,23.6508889,90.5826382,41.0,Bridge
N1,60,Bridge,B,DARIKANDI BRIDGE (R),23.65157057,90.58149439,20.0,PC Girder Bridge
N1,61,Bridge,A,Darikandi Bridge (L),23.65397226,90.57741042,20.5,PC Girder Bridge
N1,62,Link,,Bridge end,23.6506944,90.5829993,620.0,Bridge
N1,63,Bridge,B,SONARKALI BRIDGE(L),23.6497544,90.58454901,24.5,PC Girder Bridge
N1,64,Link,,Km post missing,23.6476108,90.588083,354.0,KmPost
N1,65,Bridge,B,Mollik para Bridge(L),23.64596859,90.58921198,40.4,PC Girder Bridge
N1,66,Link,,Box culvert,23.6449441,90.5899163,643.0,Culvert
N1,67,Link,,Box culvert,23.6397497,90.5926941,3.0,Culvert
N1,68,Link,,Km post missing,23.6396941,90.5927219,520.0,KmPost
N1,69,Link,,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),23.6358608,90.5948052,298.0,"SideRoad,Left"
N1,70,Bridge,A,KRIBORDI BOX CULVERT,23.63795437,90.5936674,6.0,Box Culvert
N1,71,Link,,Bridge start,23.6341108,90.5970274,100.0,Bridge
N1,72,Bridge,B,SHADIPUR BOX CULVERT,23.63380522,90.59739409,10.4,Box Culvert
N1,73,Link,,Bridge end,23.6335552,90.5976941,82.0,Bridge
N1,74,Link,,Km post missing,23.6330549,90.5982774,975.0,KmPost
N1,75,Link,,Box culvert,23.6262771,90.6042222,130.0,Culvert
N1,76,Bridge,A,Marikhali Bridge(L),23.62846685,90.60230157,86.92,PC Girder Bridge
N1,77,Link,,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,136.0,KmPost
N1,78,Bridge,B,SANGAKADI CULVERT,23.61988322,90.60835289,5.5,Box Culvert
N1,79,Link,,Bridge start,23.6242216,90.6055278,228.0,Bridge
N1,80,Link,,Bridge end,23.6224993,90.6066944,259.0,Bridge
N1,81,Link,,Bridge start,23.6204716,90.6079722,122.0,Bridge
N1,82,Link,,Bridge end,23.6195271,90.6085833,255.0,Bridge
N1,83,Link,,Km post missing,23.6173604,90.6096944,935.0,KmPost
N1,84,Bridge,A,ASHIR CHAR (Right),23.6176408,90.60955061,224.8,PC Girder Bridge
N1,85,Link,,Meghna  bridge,23.6095556,90.6121944,65.0,Bridge
N1,86,Bridge,B,ASHIR CHAR (R),23.61358738,90.61090296,116.8,PC Girder Bridge
N1,87,Link,,Km post missing,23.609,90.6124722,874.0,KmPost
N1,88,Bridge,C,MEGHNA BRIDGE,23.60275959,90.6155317,900.0,PC Box
N1,89,Link,,Bridge end,23.6018611,90.6159722,126.0,Bridge
N1,90,Link,,Km post missing,23.6009444,90.6165556,1000.0,KmPost
N1,91,Link,,Km post missing,23.5959997,90.624666,10.0,KmPost
N1,92,Bridge,A,TATULTALA CULVERT,23.59298188,90.62796994,5.6,Box Culvert
N1,93,Link,,Box culvert,23.5959441,90.6246938,674.0,Culvert
N1,94,Bridge,A,BAILAKANDI CULVERT,23.59080885,90.63023686,5.5,Box Culvert
N1,95,Link,,Box culvert,23.5917497,90.6293327,316.0,Culvert
N1,96,Link,,Km post missing,23.5896108,90.6313882,874.0,KmPost
N1,97,Bridge,A,MALUAKANDI CULVEDRT,23.58631812,90.63450942,5.6,Box Culvert
N1,98,Link,,Bridge start,23.5837497,90.6369441,126.0,Bridge
N1,99,Link,,Km post missing,23.5828327,90.6378886,39.0,KmPost
N1,100,Bridge,A,BHATIR CHAR BRIDGE,23.57798002,90.64191931,163.5,PC Girder Bridge
N1,101,Link,,Bridge end,23.5825827,90.6381386,656.0,Bridge
N1,102,Link,,Bridge start,23.577916,90.6419719,39.0,Bridge
N1,103,Link,,Bridge end,23.5776104,90.6421108,396.0,Bridge
N1,104,Link,,Information missing,23.5745271,90.6436941,308.0,KmPost
N1,105,Link,,Bridge start,23.572166,90.6451108,46.0,Bridge
N1,106,Bridge,A,ANAR PURA BRIDGE(L),23.57163063,90.64541592,29.0,PC Girder Bridge
N1,107,Link,,Bridge end,23.5718327,90.6453052,646.0,Bridge
N1,108,Link,,Km post missing,23.5666111,90.6481663,368.0,KmPost
N1,109,Bridge,A,VITIKANDA - ANAR PUR CULVERT,23.5660034,90.64862372,34.7,Box Culvert
N1,110,Link,,Bridge start,23.5639167,90.6501944,38.0,Bridge
N1,111,Link,,Bridge end,23.5636944,90.6504722,532.0,Bridge
N1,112,Link,,Bridge start,23.5604167,90.6542222,38.0,Bridge
N1,113,Link,,Bridge end,23.5602222,90.6545,39.0,Bridge
N1,114,Link,,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,162.0,KmPost
N1,115,Link,,Road to Gazara (Z1063),23.5590278,90.6559444,412.0,"SideRoad,Right"
N1,116,Bridge,A,Alipur bridge(R),23.55919103,90.65574757,27.4,PC Girder Bridge
N1,117,Link,,Bridge start,23.5564444,90.6588611,40.0,Bridge
N1,118,Link,,Bridge end,23.5562222,90.6591389,395.0,Bridge
N1,119,Link,,"Ctg 228 km,Comilla 61 km",23.5538056,90.6619722,242.0,KmPost
N1,120,Bridge,A,Bhaber char Bridge(R),23.55570829,90.65974142,29.85,PC Girder Bridge
N1,121,Link,,Box culvert,23.5523333,90.6636667,582.0,Culvert
N1,122,Bridge,A,BOBAIRCHAR BRIDGE(R),23.55174219,90.66435388,28.9,PC Girder Bridge
N1,123,Link,,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,224.0,KmPost
N1,124,Bridge,A,PURRANBUICHE BOX CULVERT,23.54773774,90.66905541,9.1,Box Culvert
N1,125,Link,,Bridge start,23.5474163,90.6694438,77.0,Bridge
N1,126,Link,,Bridge end,23.5469441,90.6699993,443.0,Bridge
N1,127,Bridge,A,NOYAPARA,23.54762464,90.66919207,5.2,Box Culvert
N1,128,Link,,Box culvert,23.5442219,90.6731104,256.0,Culvert
N1,129,Link,,Km post missing,23.542583,90.6749438,1000.0,KmPost
N1,130,Bridge,A,MADHAYA BAUSHIA(L),23.54268543,90.67482921,70.0,PC Girder Bridge
N1,131,Bridge,C,BOCTAR KANDI BOX CULVERT,23.53939102,90.67845779,5.1,Box Culvert
N1,132,Link,,Km post missing,23.5362497,90.681916,34.0,KmPost
N1,133,Bridge,A,.,23.53277519,90.68587011,9.5,Box Culvert
N1,134,Link,,Bridge start,23.536083,90.6821382,40.0,Bridge
N1,135,Link,,Bridge end,23.5358608,90.6823604,275.0,Bridge
N1,136,Link,,Box culvert,23.5341386,90.6843052,651.0,Culvert
N1,137,Link,,Km post missing,23.5301938,90.688833,664.0,KmPost
N1,138,Bridge,A,Baushia bazar Bridge( L ),23.53139966,90.68744893,25.45,PC Girder Bridge
N1,139,Link,,Daudkandi bridge,23.529916,90.6952219,336.0,Bridge
N1,140,Bridge,A,CHAR BOUSHEA (2),23.53015196,90.68979518,8.4,Box Culvert
N1,141,Link,,Km post missing,23.5301382,90.6984997,1000.0,KmPost
N1,142,Bridge,A,Daudkandi Bridge.,23.53038447,90.70244027,1408.8,PC Box
N1,143,Link,,Km post missing,23.5307493,90.7082778,78.0,KmPost
N1,144,Link,,Daudkandi bridge,23.5307771,90.7090278,355.0,Bridge
N1,145,Link,,Start of Comilla road Division / Start of Comilla road Division,23.5313882,90.7153611,426.0,Others / Others
N1,146,Link,,Road to Matlab (Z1062),23.5314716,90.7172216,77.0,"SideRoad,Right"
N1,147,Link,,Bridge start,23.5315271,90.7173604,17.0,Bridge
N1,148,Link,,Bridge end,23.5315827,90.7176104,47.0,Bridge
N1,149,Link,,Km post missing,23.5317216,90.7180271,513.0,KmPost
N1,150,Link,,Box culvert,23.5322346,90.72262984,487.0,Culvert
N1,151,Link,,Km post missing,23.5327216,90.7269993,1000.0,KmPost
N1,152,Bridge,C,Baldhakhal Bridge,23.5324186,90.72428072,23.1,RCC Girder Bridge
N1,153,Bridge,B,MAIS PARA BOX CULVERT,23.53175878,90.72917801,6.0,Box Culvert
N1,154,Link,,Km post missing,23.528916,90.7356108,654.0,KmPost
N1,155,Link,,Ctg 214 km,23.5289993,90.7419441,967.0,KmPost
N1,156,Link,,Bridge start,23.5293882,90.7514167,17.0,Bridge
N1,157,Link,,Bridge end,23.5293882,90.7515833,24.0,Bridge
N1,158,Link,,Km post broken,23.529416,90.75175,1000.0,KmPost
N1,159,Bridge,C,Shahid Nagor Bridge,23.52980506,90.75825325,16.5,RCC Girder Bridge
N1,160,Link,,Km post Missing,23.5299993,90.7615,1000.0,KmPost
N1,161,Link,,Km post Missing,23.5304438,90.7713049,185.0,KmPost
N1,162,Link,,Box culvert,23.5304993,90.7731104,815.0,Culvert
N1,163,Link,,Km post Missing,23.5308049,90.7811104,53.0,KmPost
N1,164,Intersection,,"Z1402, road to Pennai",23.5307493,90.7816104,66.0,"SideRoad,Right"
N1,165,Bridge,C,SARKAR BARI CULVERT,23.53076553,90.78007973,3.9,Box Culvert
N1,166,Link,,"Z1053, Road to Homna",23.530666,90.7821938,773.0,"SideRoad,Left"
N1,167,Link,,Box culvert,23.5312216,90.7895552,108.0,Culvert
N1,168,Link,,Km post Missing,23.531166,90.7907219,955.0,KmPost
N1,169,Intersection,,Z1044,23.5306938,90.7924441,45.0,"SideRoad,Right"
N1,170,Bridge,C,AMIRABATH SLAB CULVERT,23.53086834,90.79180752,6.5,Slab Culvert
N1,171,Link,,Km post Missing,23.5308604,90.8002222,403.0,KmPost
N1,172,Link,,Bridge start,23.5308882,90.8041389,20.0,Bridge
N1,173,Link,,Bridge end,23.530916,90.8043611,577.0,Bridge
N1,174,Link,,Km post Missing,23.5316382,90.8099167,1000.0,KmPost
N1,175,Bridge,A,Ginlatoly bridge,23.53182348,90.81101551,15.9,RCC Girder Bridge
N1,176,Link,,Km post Missing,23.5332493,90.8194716,594.0,KmPost
N1,177,Link,,Bridge start,23.5346663,90.8249716,16.0,Bridge
N1,178,Link,,Bridge end,23.5347219,90.8251104,390.0,Bridge
N1,179,Link,,Km post Missing,23.5344997,90.8287216,1000.0,KmPost
N1,180,Bridge,A,RAIPUR BOX CULVERT,23.53297433,90.83097748,12.2,Box Culvert
N1,181,Link,,Km post Missing,23.5292216,90.8365274,367.0,KmPost
N1,182,Link,,Box culvert,23.5270549,90.8391386,633.0,Culvert
N1,183,Link,,Km post Missing,23.523166,90.8438886,1000.0,KmPost
N1,184,Bridge,C,AITAL BANGA BOX CULVERT,23.52291667,90.84421861,4.5,Box Culvert
N1,185,Link,,Km post Missing,23.5174993,90.8513889,1000.0,KmPost
N1,186,Link,,Km post Missing,23.5170827,90.8607778,1000.0,KmPost
N1,187,Link,,Km post Missing,23.5135833,90.8697771,64.0,KmPost
N1,188,Bridge,C,Illiot bazar Bridge,23.51008776,90.8757204,28.9,RCC Girder Bridge
N1,189,Link,,Bridge start,23.5133056,90.8703049,42.0,Bridge
N1,190,Link,,Bridge end,23.5131111,90.8706382,102.0,Bridge
N1,191,Intersection,,"Z1042, road to Bancharampur",23.5126667,90.871416,792.0,"SideRoad,Left"
N1,192,Link,,Km post Missing,23.5088056,90.8778604,1000.0,KmPost
N1,193,Link,,Km post Missing,23.506,90.8869163,922.0,KmPost
N1,194,Link,,Box culvert,23.5056111,90.8958886,78.0,Culvert
N1,195,Link,,Km post Missing,23.5056389,90.8966108,1000.0,KmPost
N1,196,Bridge,B,KHAT GHOR BOX CULVERT,23.50600243,90.90217454,5.9,Box Culvert
N1,197,Link,,Km post Missing,23.5062778,90.9063889,911.0,KmPost
N1,198,Link,,Box culvert,23.50575,90.91525,89.0,Culvert
N1,199,Link,,Km post Missing,23.5057222,90.9160278,1000.0,KmPost
N1,200,Bridge,B,BAKRA BOX CULVERT,23.50561314,90.92146602,3.0,Box Culvert
N1,201,Link,,Km post Missing,23.5055278,90.9257216,1000.0,KmPost
N1,202,Link,,Km post Missing,23.5042778,90.9354163,9.0,KmPost
N1,203,Link,,"Z1017, Road to Companiganj",23.5043333,90.9354719,264.0,"SideRoad,Left"
N1,204,Link,,Box culvert,23.5038611,90.9371386,352.0,Culvert
N1,205,Link,,Box culvert,23.5028611,90.9412774,375.0,Culvert
N1,206,Link,,Km post Missing,23.5020278,90.9448886,1000.0,KmPost
N1,207,Bridge,B,MATIA BAZER,23.50240778,90.94324189,6.0,Slab Culvert
N1,208,Bridge,A,SONAPUR BOX CULVERT,23.50135519,90.94738441,3.0,Box Culvert
N1,209,Link,,Km post Missing,23.4995274,90.9541667,1000.0,KmPost
N1,210,Link,,Km post Missing,23.4986386,90.9651111,274.0,KmPost
N1,211,Link,,Box culvert,23.4980552,90.9660278,183.0,Culvert
N1,212,Link,,Ctg 191 km,23.4972774,90.9674716,1000.0,KmPost
N1,213,Bridge,B,KARON KHAL SLAB CULVERT,23.49589631,90.97157725,4.6,Slab Culvert
N1,214,Link,,Km post Missing,23.4942219,90.9765549,694.0,KmPost
N1,215,Link,,Box culvert,23.4951386,90.9829993,306.0,Culvert
N1,216,Bridge,A,MILL GHAT BOX CULVERT,23.49327281,90.98872004,4.5,Box Culvert
N1,217,Link,,Km post Missing,23.4942497,90.985833,1000.0,KmPost
N1,218,Link,,Km post Missing,23.4911386,90.9950274,890.0,KmPost
N1,219,Link,,Road to Debiduar (Z1008),23.4894441,91.0033056,22.0,"SideRoad,Left"
N1,220,Link,,Road to Jhalam (Z1022),23.4893886,91.0034722,71.0,"SideRoad,Right"
N1,221,Link,,Ctg 188 km,23.4896108,91.0043056,734.0,KmPost
N1,222,Link,,"Ctg 188 km,Comilla 20 km",23.4893052,91.0112778,84.0,KmPost
N1,223,Link,,Bridge start,23.4890552,91.0120278,30.0,Bridge
N1,224,Bridge,C,Chandinan-Shahapara Bridge.,23.48688059,91.01756669,22.55,RCC Girder Bridge
N1,225,Link,,Bridge end,23.4889441,91.01225,198.0,Bridge
N1,226,Link,,Ctg 187 km,23.488333,91.0140833,1020.0,KmPost
N1,227,Link,,Km post missing,23.4846386,91.0229438,1000.0,KmPost
N1,228,Link,,Km post missing,23.4827771,91.0321382,913.0,KmPost
N1,229,Link,,Box culvert,23.481166,91.0404441,141.0,Culvert
N1,230,Bridge,B,CORI PAI BOX CULVERT,23.48178732,91.04633489,4.6,Box Culvert
N1,231,Link,,Ctg 184 km,23.4814716,91.0419719,871.0,KmPost
N1,232,Bridge,B,COREPAI BOX CULVERT,23.48174983,91.05635497,4.6,Box Culvert
N1,233,Link,,Box culvert,23.4820827,91.0504167,129.0,Culvert
N1,234,Link,,Km post missing,23.4821382,91.0516944,760.0,KmPost
N1,235,Link,,Road to Khangsanagar (Z1219) left road to Barua Z1028 right,23.4815271,91.0590278,240.0,"SideRoad,Left"
N1,236,Bridge,A,NIMSHAR SLAB CULVERT,23.48061309,91.06740977,1.5,Slab Culvert
N1,237,Link,,Km post missing,23.4815549,91.0613611,1000.0,KmPost
N1,238,Link,,Km post missing,23.4801104,91.0706382,944.0,KmPost
N1,239,Link,,Box culvert,23.4770827,91.0789993,56.0,Culvert
N1,240,Bridge,C,KABILA DUBARCHAR SLAB CULVERT,23.47767229,91.08474064,1.0,Slab Culvert
N1,241,Link,,Km post missing,23.4770271,91.0794716,1000.0,KmPost
N1,242,Link,,Km post missing,23.4781938,91.0889997,1000.0,KmPost
N1,243,Bridge,B,NAZIRA BOX CULVERT,23.4781159,91.10703321,3.0,Box Culvert
N1,244,Link,,Km post missing,23.4775549,91.0986663,513.0,KmPost
N1,245,Link,,Box culvert,23.4778604,91.1036111,487.0,Culvert
N1,246,Link,,Km post missing,23.4779993,91.1055278,972.0,KmPost
N1,247,Bridge,A,TIPRA BAZAR BOX CULVERT,23.47940839,91.12389208,1.4,Box Culvert
N1,248,Link,,Box culvert,23.4789438,91.1177216,28.0,Culvert
N1,249,Bridge,A,AMTOLI SLAB CULVERT,23.47954492,91.12904714,2.9,Slab Culvert
N1,250,Link,,Km post missing,23.4789716,91.1179993,17.0,KmPost
N1,251,Intersection,,Road to Brahmanbaria(N102),23.4789716,91.118166,547.0,"SideRoad,Left"
N1,252,Link,,Box culvert,23.4793327,91.1234716,436.0,Culvert
N1,253,Link,,Km post missing,23.4800827,91.1276382,1000.0,KmPost
N1,254,Link,,Km post missing,23.4767216,91.1364441,1000.0,KmPost
N1,255,Link,,Km post missing,23.4682216,91.1394441,1000.0,KmPost
N1,256,Link,,Km post missing,23.4595833,91.1421386,68.0,KmPost
N1,257,Link,,Cross road Z1029,23.459,91.142333,932.0,CrossRoad
N1,258,Bridge,C,Dhanpur Bridge,23.44363396,91.14936682,22.85,RCC Girder Bridge
N1,259,Link,,Km post missing,23.4513056,91.1460552,303.0,KmPost
N1,260,Link,,Bridge start,23.448833,91.1471386,24.0,Bridge
N1,261,Link,,Bridge end,23.4486386,91.1472497,210.0,Bridge
N1,262,Link,,Cross Road with Z1052,23.4469441,91.1481386,463.0,CrossRoad
N1,263,Link,,Km post missing,23.4425274,91.1497774,684.0,KmPost
N1,264,Link,,Ctg 170 km,23.4373886,91.1521944,1000.0,KmPost
N1,265,Link,,Km post missing,23.4288882,91.1553889,980.0,KmPost
N1,266,Bridge,C,Paduar Bazar Bridge,23.42124877,91.16789434,35.97,RCC Girder Bridge
N1,267,Link,,Ctg 168 km,23.4236938,91.1626944,28.0,KmPost
N1,268,Link,,Bridge start,23.4235827,91.1629722,37.0,Bridge
N1,269,Link,,Bridge end,23.423416,91.1632778,508.0,Bridge
N1,270,Link,,Rail Road Crossing,23.4213604,91.167666,427.0,RailRoadCrossing
N1,271,Link,,Km post missing,23.4195271,91.171416,90.0,KmPost
N1,272,Link,,Left to Comilla Right to Noakhali,23.4191382,91.1721938,538.0,CrossRoad
N1,273,Bridge,B,MOSTAPUR RCC GIDER BRIDGE,23.41193242,91.19390298,27.9,RCC Girder Bridge
N1,274,Link,,"Ctg 66 km,Feni 52 km",23.4149444,91.1801382,511.0,KmPost
N1,275,Link,,Bridge start,23.4131111,91.1846663,28.0,Bridge
N1,276,Link,,Bridge end,23.4130556,91.1849163,461.0,Bridge
N1,277,Link,,Km post missing,23.4125,91.1893886,1008.0,KmPost
N1,278,Link,,Ctg 164 km,23.4113056,91.1988886,1027.0,KmPost
N1,279,Link,,Ctg 163 km,23.4100833,91.2087778,37.0,KmPost
N1,280,Bridge,C,Matigara Bridge,23.39765182,91.22342213,27.35,RCC Girder Bridge
N1,281,Link,,Box culvert,23.4100278,91.2090833,980.0,Culvert
N1,282,Link,,Ctg 162 km,23.4048056,91.2165278,172.0,KmPost
N1,283,Link,,Bridge start,23.40375,91.2176382,29.0,Bridge
N1,284,Link,,Bridge end,23.4035556,91.2178049,799.0,Bridge
N1,285,Link,,Km post missing,23.39821345,91.22288777,1000.0,KmPost
N1,286,Link,,Km post missing,23.3915274,91.2292493,10.0,KmPost
N1,287,Bridge,A,SUAGAZI RCC GIDER BRIDGE,23.37136478,91.24501754,30.4,RCC Girder Bridge
N1,288,Link,,Box culvert,23.3914441,91.2293049,892.0,Culvert
N1,289,Link,,Box culvert,23.385083,91.2345552,15.0,Culvert
N1,290,Link,,Box culvert,23.3849719,91.2346108,83.0,Culvert
N1,291,Link,,Km post missing,23.3843886,91.2351108,898.0,KmPost
N1,292,Link,,Bridge start,23.3779716,91.2403608,30.0,Bridge
N1,293,Link,,Bridge end,23.3777493,91.2405274,72.0,Bridge
N1,294,Link,,Km post missing,23.377166,91.2409163,1000.0,KmPost
N1,295,Link,,Km post missing,23.3695827,91.2462774,171.0,KmPost
N1,296,Bridge,C,LAL BAG RCC GIDER BRIDGE,23.35216368,91.25729107,22.8,RCC Girder Bridge
N1,297,Link,,Box culvert,23.3683327,91.2471108,904.0,Culvert
N1,298,Link,,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,366.0,KmPost
N1,299,Link,,Bridge start,23.3586389,91.25325,24.0,Bridge
N1,300,Bridge,A,CHANSIRI BOXCUIVERT,23.34267147,91.26448564,14.3,Box Culvert
N1,301,Link,,Bridge end,23.3584444,91.2533333,610.0,Bridge
N1,302,Link,,Km post missing,23.3536944,91.2561389,687.0,KmPost
N1,303,Link,,Box culvert,23.3486386,91.2599444,313.0,Culvert
N1,304,Link,,Km post missing,23.3463608,91.2616944,1000.0,KmPost
N1,305,Bridge,A,MIABAZAR BOX CULVERT,23.33014623,91.27487928,24.0,Box Culvert
N1,306,Link,,Km post missing,23.3390552,91.2672216,444.0,KmPost
N1,307,Link,,Bridge start,23.3360274,91.2700549,44.0,Bridge
N1,308,Link,,Bridge end,23.3357219,91.2703049,143.0,Bridge
N1,309,Link,,Road to Harishchar (Z1046),23.3347219,91.271166,369.0,"SideRoad,Right"
N1,310,Link,,Km post missing,23.3321938,91.2734716,1000.0,KmPost
N1,311,Bridge,A,NOYA BAZER BOX CULVERT,23.31806969,91.28308673,9.2,Box Culvert
N1,312,Link,,Km post missing,23.3246382,91.278666,73.0,KmPost
N1,313,Link,,Bridge start,23.324166,91.2791104,10.0,Bridge
N1,314,Bridge,B,DOLL BARI CULVERT,23.30836127,91.2865787,19.2,Box Culvert
N1,315,Link,,Bridge end,23.3240827,91.279166,917.0,Bridge
N1,316,Bridge,B,DHARMA PUR SLAB CULVERT,23.30343065,91.28897704,2.6,Slab Culvert
N1,317,Link,,Km post missing,23.3171382,91.2836941,270.0,KmPost
N1,318,Bridge,A,LALGORE BEZER CULVERT,23.29796753,91.29101414,3.2,Box Culvert
N1,319,Link,,Bridge start,23.3149444,91.2844719,19.0,Bridge
N1,320,Link,,Bridge end,23.31475,91.2845552,598.0,Bridge
N1,321,Link,,Box culvert,23.3096389,91.2861386,113.0,Culvert
N1,322,Link,,Km post missing,23.3086944,91.2864163,547.0,KmPost
N1,323,Link,,Box culvert,23.30425,91.288583,453.0,Culvert
N1,324,Bridge,A,SUPUYA BOX CULVERT,23.28970664,91.29295847,13.4,Box Culvert
N1,325,Link,,Km post missing,23.3006111,91.290333,519.0,KmPost
N1,326,Link,,Bridge start,23.296083,91.2914997,14.0,Bridge
N1,327,Bridge,B,BOWCHI BAZAR CULVERT,23.28219493,91.29666551,4.6,Box Culvert
N1,328,Link,,Bridge end,23.2959719,91.2915274,467.0,Bridge
N1,329,Link,,Km post missing,23.2919163,91.2922219,502.0,KmPost
N1,330,Link,,Box culvert,23.2876663,91.2936386,498.0,Culvert
N1,331,Bridge,B,AMAN GONG SLAB CULVERT,23.27301895,91.30296619,6.3,Box Culvert
N1,332,Link,,Km post missing,23.283583,91.2952219,774.0,KmPost
N1,333,Link,,Box culvert,23.2787216,91.3002778,226.0,Culvert
N1,334,Link,,Km post missing,23.2768882,91.3011944,1000.0,KmPost
N1,335,Bridge,B,RANGAMATIA (1) BOX CULVERT,23.26183609,91.30702174,3.0,Box Culvert
N1,336,Bridge,B,RANGOWATIA 2 CULVERT,23.25941665,91.3073611,3.0,Slab Culvert
